code,feature,weight
ГК,законодательный,1.43741439904142
ГК,законодательный акт,1.409637833051725
ГК,гражданин,1.2563718710682603
ГК,сделка,1.2563518631850956
ГК,собственник,1.1956744626478488
ГК,обязательство,1.1891345337845554
ГК,товарищество,1.1398558590126533
ГК,должник,1.0760526954214513
ГК,законодательство,1.07046700859044
ГК,вещь,1.0124871191234583
ГК,доверенность,1.0023431533616354
ГК,договор,0.9735452679361702
ГК,иное,0.918873478840863
ГК,кредитор,0.8921230848201583
ГК,кооператив,0.8685420942829974
КоАП,административный,2.8249152361396224
КоАП,влечь штраф,2.204095882344181
КоАП,влечь,2.0833141685673735
КоАП,административный правонарушение,1.5950646844701255
КоАП,штраф,1.4468510392904064
КоАП,постановление,1.193914553917406
КоАП,дело,1.1077135525918411
КоАП,правонарушение,1.077832574843328
КоАП,судья,1.014850692389067
КоАП,субъект,1.0122027235590185
КоАП,административный ответственность,1.0105137588767448
КоАП,выполнение общественный,0.9219387234484144
КоАП,размер,0.8855847103196343
КоАП,производство,0.8803002512190296
КоАП,месячный,0.8510408810517558
НК,налоговый,2.6774495262159226
НК,ставка,1.316071924940476
НК,налогообложение,1.283904756711239
НК,налоговый орган,1.2766424483921641
НК,доход,1.1627783567917656
НК,налог,1.1597249426043417
НК,налогоплательщик,1.0380145099152613
НК,являться,1.036309989771854
НК,реализация,0.9256696612803722
НК,услуга,0.9189250335090974
НК,мрп,0.9000747054556656
НК,консульский,0.8549995475776433
НК,выдача,0.8013637704013586
НК,дата,0.7875606917773649
НК,расход,0.7874786084036944
ТК,трудовой,2.1969329966058093
ТК,труд,2.1567727252010753
ТК,работник,1.8983201023559628
ТК,работодатель,1.4868468494470117
ТК,трудовой договор,0.9038048750105321
ТК,рабочий,0.884375186710339
ТК,работа,0.8687896409470702
ТК,профессиональный,0.861184112046767
ТК,закон республика,0.8314806895093769
ТК,коллективный,0.7879766379457586
ТК,забастовка,0.7817061826447781
ТК,заработный,0.7036685114652302
ТК,заработный плата,0.7036685114652302
ТК,отраслевой,0.6627389406448628
ТК,региональный,0.6598898869354005
УК,уголовный,2.0595585395100326
УК,наказываться,1.401350516818712
УК,наказание,1.248719538975409
УК,уголовный правонарушение,1.2454441005924923
УК,свобода,1.2414341836633926
УК,преступление,1.2314841778181118
УК,свобода срок,1.17944452394319
УК,лишение,1.1616817324100892
УК,уголовный ответственность,1.1614752451575858
УК,лишение свобода,0.9982505587677338
УК,срок,0.9700134900696101
УК,принудительный мера,0.8147073116916566
УК,общественно,0.7527245298876424
УК,общественно опасный,0.731560818973202
УК,наказываться штраф,0.711712803196018
